NAME,POSITION,TEAM,SALARY
Andrew Andrews, G,Charlotte Hornets,"$543,471.00 "
E.J. Singler, SF,Toronto Raptors,"$543,471.00 "
Drew Crawford, SG,Toronto Raptors,"$543,471.00 "
Isaiah Cousins, PG,Sacramento Kings,"$543,471.00 "
Julian Jacobs, PG,Los Angeles Lakers,"$543,471.00 "
J.P. Tokoto, SG,New York Knicks,"$543,471.00 "
Maurice Ndour, SF,New York Knicks,"$543,471.00 "
Thomas Walkup, SG,Chicago Bulls,"$543,471.00 "
Jalen Jones, SF,Boston Celtics,"$543,471.00 "
Richard Solomon, PF,Atlanta Hawks,"$543,471.00 "
Jonathan Gibson, PG,Dallas Mavericks,"$469,943.00 "
Toney Douglas, PG,Memphis Grizzlies,"$379,159.00 "
Lamar Patterson, SG,Atlanta Hawks,"$246,956.00 "
Andrew Bogut, C,Cleveland Cavaliers,"$242,224.00 "
Larry Sanders, PF,Cleveland Cavaliers,"$207,722.00 "
Ray McCallum, PG,Charlotte Hornets,"$121,112.00 "
Manny Harris, PG,Dallas Mavericks,"$115,344.00 "
Mike Tobey, C,Charlotte Hornets,"$67,135.00 "
Anthony Brown, SF,Orlando Magic,"$57,672.00 "
Justin Harper, PF,Philadelphia 76ers,"$57,672.00 "
Jarell Eddie, SG,Phoenix Suns,"$57,672.00 "
Alonzo Gee, SF,Denver Nuggets,"$57,672.00 "
Jarrett Jack, PG,New Orleans Pelicans,"$57,672.00 "
Pierre Jackson, PG,Dallas Mavericks,"$31,969.00 "
